words,links,capital_words,spam_word_count,is_spam
142,5,4,10,1
208,2,1,0,0
171,1,0,1,0
101,5,0,8,1
123,2,6,1,0
181,2,3,1,0
294,0,2,6,0
86,0,0,1,0
720,5,12,2,1
29,2,3,5,0
70,2,7,2,0
314,0,8,5,1
613,2,10,9,1
242,2,2,2,0
170,2,9,10,1
971,10,19,4,1
168,1,29,4,1
806,7,19,3,1
672,6,16,7,1
292,2,0,5,0
210,10,21,4,1
97,10,6,7,1
217,1,2,1,0
50,10,0,4,1
721,3,5,0,1
35,2,0,2,0
361,3,14,10,1
707,9,17,8,1
208,0,0,1,0
464,2,3,1,0
515,3,14,10,1
215,1,5,2,0
414,5,2,7,1
425,1,0,0,0
185,1,2,2,0
445,1,2,1,0
197,3,3,2,0
672,5,23,4,1
613,6,5,9,1
83,10,5,4,1
859,8,15,0,1
203,2,24,2,1
189,10,26,4,1
124,9,7,6,1
221,1,2,0,0
292,0,1,0,0
173,5,1,2,0
143,5,26,4,1
732,10,18,8,1
268,4,1,1,0
264,2,1,0,0
272,5,20,5,1
339,2,1,2,0
748,3,22,3,1
196,0,1,2,0
439,3,27,9,1
247,5,2,1,0
994,2,10,6,1
543,10,9,8,1
655,7,10,1,1
188,1,1,1,0
308,3,19,3,1
250,9,4,2,1
947,8,23,4,1
306,0,26,10,1
333,4,3,3,1
281,1,3,0,0
145,1,2,0,0
504,3,0,10,1
111,2,7,3,1
962,2,19,8,1
259,2,0,2,0
99,2,16,9,1
208,7,14,10,1
169,0,0,2,0
565,7,15,5,1
720,7,8,10,1
908,2,27,9,1
267,5,2,1,0
289,0,14,6,1
115,1,5,0,0
220,2,1,1,0
853,2,25,1,1
336,3,3,4,0
197,1,10,0,0
118,3,23,1,1
459,1,0,2,0
275,8,1,6,1
245,0,1,2,0
281,2,1,1,0
164,2,3,1,0
198,3,3,2,0
170,2,9,2,0
452,3,2,0,1
275,1,1,6,0
454,2,3,5,0
280,2,2,2,0
269,3,0,2,0
618,4,1,6,1
528,4,17,7,1
110,3,0,2,0
244,2,0,6,0
143,0,5,8,1
333,10,7,10,1
510,4,21,9,1
218,1,1,1,0
72,2,3,2,0
174,5,6,2,0
242,2,3,5,0
126,3,21,9,1
410,5,22,9,1
149,3,5,10,1
282,1,1,1,0
174,4,14,8,1
42,1,3,1,0
257,2,2,2,0
165,0,10,1,0
239,1,0,2,0
50,0,3,4,1
195,0,0,1,0
519,4,0,4,1
292,0,0,5,0
140,10,18,9,1
255,2,26,1,1
185,1,1,3,0
176,1,2,1,0
264,1,4,1,0
818,6,7,0,1
875,2,21,7,1
231,1,3,6,0
153,5,2,6,1
814,7,7,7,1
930,0,8,7,1
213,0,1,5,1
244,6,6,3,1
272,2,3,0,0
51,2,24,3,1
176,1,1,2,0
20,1,1,2,0
573,2,27,5,1
45,0,1,2,0
162,1,1,3,0
526,2,24,6,1
107,2,0,2,0
38,2,6,1,0
171,1,0,5,1
82,0,2,1,0
164,3,0,2,0
475,2,1,1,0
195,5,1,1,0
840,1,16,5,1
160,5,16,5,1
647,2,5,1,1
671,6,18,0,1
211,1,2,2,0
26,0,6,3,0
180,5,7,10,1
138,5,14,0,1
288,7,18,3,1
338,2,1,2,0
243,1,1,5,0
888,8,5,6,1
92,0,1,2,0
416,3,5,8,1
101,9,16,3,1
257,1,10,1,0
60,3,1,9,1
545,10,7,0,1
630,6,22,4,1
679,7,14,7,1
508,5,24,8,1
872,7,1,10,1
36,0,3,2,0
257,4,3,1,0
150,4,16,0,1
243,2,0,0,0
180,7,21,4,1
399,1,2,0,0
360,3,0,1,0
300,4,18,6,1
208,2,0,2,0
75,1,0,2,0
647,3,22,8,1
94,1,2,0,0
862,3,5,5,1
223,9,30,1,1
118,5,30,7,1
233,5,1,2,0
503,10,13,3,1
879,0,12,1,1
812,9,13,7,1
256,0,1,2,0
82,2,0,1,0
169,0,0,2,0
245,5,6,7,1
375,2,0,2,0
58,1,3,1,0
250,1,4,1,0
698,8,14,0,1
101,0,1,1,0
342,10,8,4,1
590,5,5,8,1
292,2,0,1,0
127,1,1,1,0
60,0,9,4,0
119,2,3,1,0
434,8,20,9,1
68,1,3,0,0
266,0,0,3,0
270,1,3,4,0
203,0,2,6,0
46,1,0,2,0
930,4,13,3,1
677,7,28,7,1
160,3,2,9,1
92,1,3,1,0
749,4,1,10,1
470,3,5,5,1
237,1,3,2,0
933,6,14,9,1
955,8,30,7,1
184,4,1,2,0
188,2,9,3,0
55,0,6,2,0
269,0,3,2,0
83,1,2,1,0
126,1,3,0,0
200,3,2,0,0
271,1,9,0,0
192,9,13,8,1
157,0,23,8,1
106,10,11,10,1
432,9,14,3,1
39,0,4,0,0
100,1,0,1,0
452,5,24,3,1
540,7,28,10,1
350,6,3,5,1
247,2,3,2,0
126,2,0,2,0
178,1,1,1,0
452,6,12,6,1
83,8,14,8,1
153,8,6,6,1
371,3,8,6,0
132,1,0,0,0
31,1,0,0,0
234,1,0,2,0
818,4,7,5,1
64,0,2,0,0
172,2,2,2,0
49,0,2,4,0
148,2,0,1,0
341,4,27,3,1
56,9,3,3,1
214,0,2,3,0
489,1,4,5,1
979,2,19,6,1
171,4,1,6,1
54,2,3,2,0
640,5,4,5,1
254,1,2,2,0
977,7,8,4,1
965,3,14,8,1
917,6,2,3,1
399,9,21,2,1
554,0,28,10,1
869,10,8,3,1
245,1,3,1,0
58,3,1,10,1
155,2,17,5,1
657,9,29,3,1
253,2,3,2,0
247,2,4,1,0
123,3,5,4,1
910,9,9,5,1
43,1,1,0,0
191,2,0,2,0
248,2,1,1,0
714,4,20,9,1
188,2,1,1,0
394,3,4,3,1
171,0,3,1,0
233,1,0,1,0
855,4,3,10,1
100,0,2,6,0
109,1,1,0,0
195,10,25,3,1
740,9,17,3,1
300,1,3,0,0
338,6,25,4,1
116,1,11,0,1
314,2,8,0,0
743,10,15,10,1
186,0,2,1,0
735,5,20,5,1
766,10,11,10,1
258,2,2,4,0
136,0,1,2,0
542,2,12,3,1
375,2,0,0,0
91,1,9,5,0
731,10,3,0,1
816,0,28,10,1
132,0,1,0,0
438,2,3,2,0
274,2,0,1,0
815,2,13,7,1
36,2,1,3,0
178,0,0,1,0
488,8,20,1,1
274,2,2,2,0
622,9,22,7,1
53,0,2,4,0
260,1,1,0,0
83,3,0,0,0
236,1,19,3,1
211,0,18,0,1
127,2,5,2,0
297,1,3,2,0
38,0,0,2,0
156,2,2,1,0
62,2,27,8,1
281,2,4,6,1
657,2,4,3,1
452,3,14,4,1
262,1,2,5,0
426,10,29,2,1
457,0,2,0,0
272,1,2,1,0
189,2,3,2,0
254,0,1,1,0
31,5,1,6,0
288,4,0,4,0
891,8,10,3,1
978,6,3,3,1
